CPU (%),Memory (MB),Disk (MB/s),Network (Mbps),Files Created,Files Deleted,Files Renamed,is_ransomware
56.37,3521.07,7.3,1.75,68,94,31,0
62.72,4076.04,7.91,4.83,41,30,36,0
5.65,3566.69,9.89,2.08,52,67,81,0
60.17,5273.98,9.85,2.43,60,8,73,0
54.39,5876.19,9.83,4.41,72,72,76,0
14.0,260.53,12.24,2.19,37,40,34,0
29.48,3886.04,1.98,3.84,60,26,54,0
97.34,8708.76,193.69,98.74,753,857,993,1
86.08,15258.07,258.23,46.56,289,972,224,1
91.02,15110.53,361.89,99.74,321,805,289,1
96.63,8436.31,73.03,42.05,747,188,117,1
86.39,10260.76,362.58,74.98,241,160,442,1
78.88,7935.4,132.96,11.47,720,149,454,1
87.19,12182.26,122.77,54.87,672,823,423,1
93.28,14334.9,162.01,53.32,997,152,981,1
21.69,2167.53,13.45,0.65,55,31,73,0
63.05,3123.89,6.53,4.36,74,50,27,0
23.32,4558.5,2.41,0.89,79,60,81,0
39.82,4735.41,7.85,0.37,45,31,2,0
75.7,14810.22,309.42,60.22,650,808,698,1
79.52,11468.17,355.27,96.11,889,673,703,1
95.1,11374.2,103.39,35.17,648,196,776,1
41.64,3947.09,11.76,0.92,94,48,0,0
76.66,10405.99,203.0,98.58,713,909,252,1
27.56,620.96,5.53,4.54,45,42,86,0
60.45,400.79,5.99,2.39,59,20,47,0
38.75,1404.41,0.67,2.57,71,74,23,0
81.3,12834.08,235.57,70.54,622,312,562,1
2.98,1449.01,14.07,4.44,84,34,37,0
21.76,4881.23,3.28,4.44,52,61,22,0
39.14,897.68,13.49,1.5,80,32,15,0
56.25,754.59,6.92,4.75,61,100,52,0
6.59,975.34,9.84,4.26,100,86,67,0
37.14,118.56,6.65,2.17,0,99,93,0
70.86,14949.73,486.91,89.54,553,783,929,1
36.29,3095.44,10.91,0.75,1,28,65,0
70.08,10741.37,200.35,65.3,894,983,339,1
27.52,2554.14,8.78,3.37,52,49,9,0
54.17,3380.49,5.35,1.44,2,66,91,0
87.15,15402.51,121.05,13.69,602,931,285,1
80.8,11923.49,423.27,88.82,963,833,937,1
32.86,5602.95,12.98,0.78,22,65,99,0
79.21,10076.43,41.4,92.07,745,461,163,1
93.07,7878.6,428.79,35.64,140,207,604,1
82.46,10247.47,372.75,82.88,361,134,322,1
57.02,1869.21,6.44,2.65,72,17,27,0
73.69,8022.35,481.62,23.26,463,840,993,1
89.63,15618.75,309.96,67.54,389,699,853,1
20.08,3750.52,0.64,0.88,54,60,36,0
30.19,1204.64,2.96,0.82,99,51,13,0
16.28,421.59,8.45,3.54,12,95,65,0
76.9,8513.64,212.73,6.35,631,691,569,1
72.6,12763.1,252.0,67.34,190,983,794,1
42.62,827.33,6.37,3.34,71,2,83,0
98.28,13614.06,85.79,47.72,118,285,567,1
21.92,70.62,9.91,4.82,99,5,93,0
86.04,8978.5,370.78,97.27,930,762,831,1
27.0,4984.92,1.77,4.36,19,89,36,0
75.96,15216.34,55.83,28.29,143,587,638,1
76.47,11428.18,438.76,70.19,223,187,455,1
36.6,1160.98,9.29,4.64,51,87,7,0
56.82,796.18,12.05,0.21,73,24,14,0
60.1,4984.85,8.06,1.92,13,22,53,0
73.28,13468.56,270.66,91.06,392,765,829,1
71.85,10690.34,137.13,14.14,910,788,892,1
21.16,1606.83,1.22,0.67,82,90,30,0
72.33,14045.33,253.12,39.55,945,389,228,1
95.59,8997.09,477.55,29.81,401,254,161,1
46.74,3781.56,0.96,3.89,16,4,79,0
95.69,8370.8,486.08,15.03,972,756,976,1
68.98,1898.53,5.04,3.75,47,4,18,0
28.76,5684.51,3.91,0.55,55,30,25,0
55.03,231.12,0.52,3.94,56,73,54,0
94.96,14780.84,56.15,6.62,768,753,895,1
80.91,11430.63,291.84,38.8,336,692,897,1
99.19,9801.19,236.84,45.98,601,275,639,1
84.51,7354.26,185.22,95.03,238,747,136,1
93.81,8753.17,459.66,59.95,797,881,370,1
66.22,5076.19,0.5,3.25,80,15,53,0
70.41,11466.93,93.71,88.15,846,349,299,1
7.84,2154.02,4.2,0.01,57,18,33,0
33.01,968.84,4.97,1.22,27,44,19,0
49.47,456.07,14.63,4.51,39,60,12,0
35.64,716.4,2.59,2.27,21,5,96,0
45.9,4046.67,7.46,2.97,77,26,80,0
98.61,10103.92,113.91,38.59,452,689,260,1
88.22,14339.63,296.83,33.34,251,861,230,1
48.55,2747.74,5.55,4.02,4,14,89,0
93.54,8860.72,393.88,10.39,896,644,765,1
76.34,12238.52,131.4,20.38,132,101,986,1
98.82,11886.76,90.53,50.02,118,796,528,1
94.89,13854.37,389.78,16.08,156,667,628,1
93.51,13336.13,347.07,15.52,712,465,918,1
99.47,9855.45,368.37,78.3,167,786,992,1
44.01,3627.93,5.01,4.88,22,85,22,0
96.21,6193.72,445.25,5.68,316,980,668,1
9.78,417.62,4.61,1.25,30,94,43,0
43.03,3537.19,6.59,2.72,2,81,2,0
4.8,1462.88,6.66,3.57,67,0,0,0
97.74,13363.73,478.02,7.28,630,466,614,1
37.61,337.21,3.99,1.37,100,33,64,0
72.2,7544.29,66.89,15.96,136,443,343,1
20.36,4598.3,8.11,2.87,10,100,75,0
29.92,3893.84,8.54,2.84,15,78,85,0
14.9,2768.77,6.89,3.21,68,5,75,0
70.33,6198.8,217.18,16.49,836,300,617,1
4.0,5025.03,3.6,1.81,83,71,68,0
92.59,8803.66,240.54,12.8,723,404,537,1
24.21,2231.67,10.99,3.54,14,89,32,0
94.29,14329.83,150.11,32.3,603,344,645,1
75.91,8909.62,225.01,45.0,987,512,272,1
89.4,13325.24,480.01,61.24,915,127,368,1
55.5,3697.0,3.04,3.58,78,90,25,0
82.49,7010.14,189.63,22.09,578,636,999,1
15.54,570.42,13.08,2.5,66,91,36,0
17.55,4958.17,12.42,0.9,90,29,15,0
56.45,1632.57,12.32,2.69,69,26,0,0
0.08,5752.85,5.1,3.07,50,51,87,0
12.31,3743.34,3.54,2.5,37,80,87,0
79.6,10171.74,402.42,76.76,344,417,859,1
95.3,13972.79,468.6,87.05,323,321,482,1
40.26,2724.68,11.56,3.89,55,77,0,0
99.28,13024.23,96.39,82.77,754,103,940,1
76.84,6378.96,443.98,91.12,715,496,989,1
89.54,11059.75,294.56,72.46,847,342,499,1
84.6,15499.15,299.58,88.11,698,974,916,1
39.86,4020.09,10.0,4.93,72,82,1,0
75.92,9627.79,317.49,53.89,406,333,736,1
67.26,536.69,5.39,1.33,59,56,87,0
79.54,12820.85,195.24,16.24,456,944,282,1
89.68,12238.44,174.65,19.03,474,503,477,1
93.72,6367.89,141.61,75.67,352,244,302,1
87.58,7854.47,231.19,37.0,340,276,887,1
65.33,238.74,0.81,1.54,4,55,21,0
74.6,7438.88,399.91,53.47,833,722,559,1
86.19,11751.18,457.27,74.48,467,917,600,1
13.9,2747.48,2.67,4.1,80,90,15,0
29.38,2426.0,7.55,2.13,61,7,89,0
34.41,3088.65,12.88,3.8,48,55,45,0
2.31,5820.47,13.65,4.23,67,18,56,0
13.24,2081.99,11.22,3.2,9,29,38,0
16.56,686.93,3.81,3.94,72,83,53,0
81.7,13255.81,48.94,5.62,303,492,222,1
70.87,8558.23,483.88,17.75,796,237,987,1
99.69,15690.06,282.98,23.03,748,389,937,1
87.67,7473.51,450.27,74.91,185,820,921,1
49.17,3571.25,7.43,4.85,34,17,53,0
71.31,7265.75,86.59,7.55,183,575,401,1
99.8,15253.9,264.06,31.28,798,689,365,1
78.44,13390.58,278.3,21.64,488,278,219,1
23.93,5093.02,3.57,1.55,12,39,89,0
78.4,13687.97,132.27,77.14,302,977,342,1
6.84,3345.97,5.94,2.54,25,61,52,0
99.72,8461.98,105.28,48.36,809,495,517,1
41.82,2179.95,8.5,1.53,52,68,35,0
91.69,12663.02,331.77,28.37,941,353,972,1
16.72,472.8,3.44,4.01,47,40,30,0
86.39,13223.44,239.46,95.6,763,186,865,1
95.06,15519.93,431.81,6.18,321,380,299,1
39.65,1427.68,10.99,2.21,75,59,80,0
72.25,6963.11,359.36,41.33,934,242,169,1
42.71,3875.45,13.0,4.93,95,92,41,0
27.9,1065.96,8.89,4.47,97,19,18,0
73.21,10712.66,367.22,64.73,472,819,120,1
46.25,101.41,1.4,2.71,16,64,5,0
78.49,11515.22,344.9,90.18,705,937,209,1
93.96,9695.92,226.93,39.03,839,874,475,1
31.84,5682.63,9.57,1.03,90,51,59,0
95.25,13367.57,109.23,9.29,817,896,227,1
11.84,2912.11,5.97,3.37,50,40,24,0
97.13,13249.41,285.63,87.32,569,781,644,1
80.48,12825.14,371.0,14.32,861,398,142,1
74.14,6902.46,366.6,29.72,539,365,275,1
40.79,812.49,3.57,4.66,58,85,32,0
27.74,5839.33,6.16,4.88,15,22,25,0
81.68,12544.68,284.1,30.33,781,928,372,1
86.43,8496.26,484.14,82.79,980,761,560,1
91.58,9425.46,297.42,59.0,352,416,817,1
89.37,8152.2,466.59,37.12,417,645,284,1
32.84,2038.44,3.61,0.3,23,100,35,0
56.84,874.89,10.69,3.91,29,49,40,0
44.34,2551.82,9.33,2.66,21,25,99,0
82.24,13399.62,128.23,98.05,942,911,313,1
35.39,2736.0,13.57,0.86,62,68,56,0
7.41,1824.2,14.29,0.32,69,90,37,0
92.26,12706.63,30.21,86.75,939,787,380,1
73.82,14766.39,90.38,5.02,451,122,534,1
91.64,13493.8,223.97,56.13,679,569,108,1
80.01,8395.49,163.85,66.97,373,216,564,1
9.47,548.68,9.45,3.16,13,76,68,0
88.75,14551.53,172.12,87.77,670,249,125,1
89.92,15341.74,308.49,22.54,509,440,383,1
67.39,3763.88,14.13,1.97,47,32,63,0
36.48,5517.87,11.57,0.16,46,61,66,0
93.32,7762.33,376.07,62.43,602,193,654,1
72.68,9946.51,466.06,61.23,956,676,138,1
40.59,1337.43,9.84,4.89,91,11,27,0
86.54,9147.8,497.64,54.16,757,784,595,1
3.64,644.36,1.34,0.66,34,99,24,0
75.38,15313.31,360.13,75.96,417,865,585,1
76.09,8043.66,18.67,6.76,747,148,566,1
89.48,12318.54,382.16,46.73,554,391,121,1
99.84,8695.53,347.95,76.9,326,329,332,1
33.72,1646.22,3.3,0.72,57,20,60,0
31.66,4035.08,11.55,1.15,33,96,90,0
57.51,3286.27,1.6,3.28,24,32,66,0
76.21,11711.0,206.12,61.08,334,892,543,1
58.31,2913.74,14.46,4.59,28,67,88,0
22.13,2498.01,9.58,1.28,91,49,30,0
28.2,2358.33,3.54,2.47,53,30,76,0
4.75,2916.01,10.63,3.94,58,92,81,0
81.63,15934.88,88.29,3.27,781,631,829,1
70.01,13862.51,259.64,57.94,415,571,460,1
7.05,4276.3,1.44,2.76,4,77,69,0
29.41,1560.5,5.77,2.91,65,38,70,0
96.13,6841.06,214.8,57.48,429,334,810,1
97.45,10721.81,222.66,24.8,874,994,389,1
91.1,8077.72,185.24,12.2,943,489,533,1
99.13,10318.89,42.53,32.08,497,133,278,1
51.76,1314.21,4.67,0.62,86,65,90,0
64.94,3872.5,2.21,0.32,85,43,66,0
9.31,4451.32,6.61,4.01,84,17,57,0
72.47,7642.19,74.11,21.0,525,796,763,1
96.85,14973.21,48.59,79.31,440,784,825,1
86.36,7970.65,352.88,16.02,715,787,668,1
67.1,1370.6,8.48,2.63,25,97,27,0
80.59,13872.65,24.5,55.87,829,538,451,1
88.82,12323.79,234.9,31.97,791,922,825,1
20.52,2087.31,6.43,1.63,71,94,31,0
93.17,11720.79,372.89,36.6,482,208,908,1
86.32,15855.75,134.75,62.01,557,934,608,1
27.22,1844.73,3.19,2.3,66,90,94,0
63.48,3090.07,13.64,4.15,18,94,99,0
76.79,12615.24,191.38,14.8,915,177,366,1
70.47,7841.62,58.88,11.18,419,296,357,1
11.77,5837.99,14.61,1.41,70,83,18,0
14.83,466.19,13.27,0.22,30,76,88,0
1.57,2702.02,8.72,0.43,43,97,77,0
45.24,5811.43,14.56,4.55,79,73,40,0
40.13,2433.11,8.14,3.83,75,55,7,0
75.21,11022.2,15.77,47.52,461,441,475,1
47.36,4522.04,13.95,4.46,89,92,83,0
32.71,4978.71,14.18,2.85,72,98,78,0
70.02,7693.04,236.37,46.11,289,576,887,1
41.25,872.57,1.73,4.41,25,64,52,0
84.81,12668.29,111.76,35.78,506,477,726,1
60.19,3241.41,7.37,1.45,38,18,45,0
99.55,10991.62,269.73,78.19,142,956,915,1
84.79,15276.24,473.62,93.33,787,726,390,1
18.27,1810.8,11.44,3.32,36,34,41,0
19.2,2261.76,8.7,0.08,31,12,74,0
90.84,8946.77,108.2,10.36,193,264,440,1
20.16,5719.73,3.75,3.47,66,58,51,0
80.65,10801.49,258.7,32.71,339,535,819,1
62.23,244.37,7.37,3.02,98,56,82,0
16.36,3656.77,13.08,3.11,63,90,59,0
73.61,11857.32,458.49,78.88,927,293,166,1
82.76,11537.94,240.55,73.19,691,135,197,1
21.04,1976.48,7.93,2.64,19,16,53,0
26.04,5703.41,2.7,1.37,13,73,6,0
98.31,14770.9,180.13,35.37,764,952,291,1
80.83,12150.64,335.43,42.27,858,393,990,1
11.59,4365.63,4.94,3.07,36,34,71,0
49.49,1196.85,7.75,1.29,6,33,68,0
18.49,4075.2,7.38,3.43,48,72,57,0
49.19,1963.93,11.68,3.28,20,83,38,0
24.32,76.25,0.97,3.42,83,57,69,0
78.14,6356.03,493.61,26.72,623,101,279,1
97.23,12795.04,417.81,60.16,250,913,152,1
79.93,7688.97,396.75,12.64,461,884,334,1
81.78,14774.0,274.27,84.35,708,418,568,1
72.94,12360.72,84.78,23.21,767,734,485,1
70.85,15277.88,27.97,17.01,822,778,297,1
39.97,5823.32,8.1,3.64,76,61,9,0
86.45,14321.24,186.86,67.23,817,905,664,1
50.28,2479.69,3.58,4.76,70,51,64,0
19.78,5149.84,4.54,2.09,32,14,19,0
99.04,11957.63,467.97,84.94,127,353,712,1
76.97,11666.2,238.29,80.5,653,309,294,1
79.63,7800.61,408.83,94.12,899,939,492,1
76.82,12074.51,289.5,11.71,351,414,820,1
51.31,1277.82,12.69,1.61,35,96,83,0
25.14,5359.58,11.68,4.36,46,88,53,0
45.89,4498.08,2.92,0.09,78,14,48,0
4.2,3620.6,14.18,3.24,14,76,49,0
96.12,12650.34,396.86,79.41,265,255,170,1
82.46,11592.23,127.66,42.19,244,331,156,1
73.68,15442.47,316.68,46.76,613,700,198,1
82.4,15569.85,450.74,73.77,603,613,115,1
99.68,7722.45,490.34,28.65,763,913,576,1
25.44,4986.57,4.83,1.59,75,10,52,0
39.46,381.17,0.69,4.56,94,57,11,0
74.23,13739.02,195.99,76.17,399,762,220,1
55.01,1437.89,6.52,3.29,68,78,32,0
34.74,5245.9,4.75,2.44,65,20,41,0
86.2,12384.61,192.35,32.73,844,566,162,1
5.79,5532.51,11.16,2.54,18,6,37,0
77.34,7300.06,334.87,35.32,470,393,225,1
40.85,2905.49,7.82,1.0,10,1,14,0
62.57,2384.97,0.68,1.2,61,76,43,0
32.76,2799.5,5.72,2.93,20,92,71,0
90.57,9126.06,466.84,88.29,738,950,646,1
37.38,4787.46,14.88,1.53,89,15,17,0
3.71,3263.94,2.19,2.12,52,59,1,0
33.76,4278.0,13.12,3.82,88,51,50,0
45.85,1034.96,1.32,2.19,22,40,22,0
54.91,4041.97,8.09,0.97,16,25,79,0
84.18,15800.66,482.21,5.1,477,509,988,1
27.98,5893.5,11.31,3.29,61,94,70,0
93.53,7553.72,244.5,40.56,173,538,351,1
6.79,4225.94,8.39,1.1,20,23,94,0
87.33,15146.92,396.32,51.62,822,441,921,1
71.28,7517.45,294.82,74.01,745,352,186,1
92.92,8646.95,177.33,50.47,767,546,407,1
71.3,13402.68,310.01,22.66,113,205,503,1
0.79,4712.06,0.07,1.85,6,23,69,0
60.75,2611.16,3.45,0.46,19,45,66,0
95.13,14565.41,213.77,94.02,811,881,536,1
96.03,7341.52,241.7,95.46,801,420,779,1
19.4,1621.66,8.17,2.35,37,45,9,0
24.25,4979.07,14.72,4.23,91,88,61,0
83.18,13359.35,116.6,88.97,844,440,109,1
6.86,2542.76,8.18,2.52,28,55,47,0
